parent_article,cycle_archetype,line_no,component,item_type,sfg_code,bom_qty,fg_qty,godown,consumed_at_stage
3 Jar Jute Bag Gift Hamper,D: Pack-only,1,Carnival Cranberry Whole 250G,fg,,1,1,Factory,Final FG (Sorting+Packing)
3 Jar Jute Bag Gift Hamper,D: Pack-only,2,Carnival Roasted & Salted Pistachio 200g,fg,,1,1,Factory,Final FG (Sorting+Packing)
3 Jar Jute Bag Gift Hamper,D: Pack-only,3,Carnival Roasted & Salted Cashew 230g,fg,,1,1,Factory,Final FG (Sorting+Packing)
3 Jar Jute Bag Gift Hamper,D: Pack-only,4,PM24-Hamper-3 Jar Jute Bag,pm,,1,1,PM Store,Final FG (packing)
3pcs date balls with blister,B: Transform->Pack (in-line),1,AL BARAKAH FARD DATES STANDARD,rm,,0.03,1,Factory,Create WIP
3pcs date balls with blister,B: Transform->Pack (in-line),2,Cashew Tukda,rm,,0.01,1,Factory,Create WIP
3pcs date balls with blister,B: Transform->Pack (in-line),3,American Almond Double Tonch,rm,,0.01,1,Factory,Create WIP
3pcs date balls with blister,B: Transform->Pack (in-line),4,PM24-DM03 Bottom Golden Blister,pm,,1,1,Factory,Final FG (packing)
3pcs date balls with blister,B: Transform->Pack (in-line),5,PM24-DM 03 Top Transparent (for blister) 210 gm,pm,,1,1,Factory,Final FG (packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,1,Carnival Festive Flavoured Cashew (320) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,2,Carnival Festive Chatpata Cranberry 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,3,Carnival Festive Salted Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,4,Carnival Simply Thandai 100g,fg,,1,1,Factory,Final FG (Sorting+Packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,5,PM24-Hamper-Diya with Pearl,pm,,1,1,Factory,Final FG (packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,6,PM24-Hamper-Mdf 5 Pet With Lid,pm,,1,1,Factory,Final FG (packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,7,PM24-5 Ply Carton CF24 10kg (390X290X220) (D Mart)-Unprinted,pm,,0.33,1,Factory,Final FG (packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,8,Carnival Festive Flavoured Cashew (320) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,9,Carnival Festive Chatpata Cranberry 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,10,Carnival Festive Cashew (320) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,11,Carnival Festive Salted Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,12,PM24-Hamper-Diya with Pearl,pm,,2,1,Factory,Final FG (packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,13,PM24-Hamper-Mdf 5 Pet With Lid,pm,,1,1,Factory,Final FG (packing)
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,14,PM24-5 Ply Carton CF24 10kg (390X290X220) (D Mart)-Unprinted,pm,,0.33,1,Factory,Final FG (packing)
5 Grain Cereal 35gm,B: Transform->Pack (in-line),1,Jawar Puff,rm,,0.04,10,Factory,Create WIP
